0 0 60 60 1.00000, 0.00000
0 10 60 70 1.00000, 0.00000
0 20 60 80 1.00000, 0.00000
0 30 60 90 1.00000, 0.00000
0 40 60 100 1.00000, 0.00000
0 50 60 110 1.00000, 0.00000
0 60 60 120 1.00000, 0.00000
0 70 60 130 1.00000, 0.00000
0 80 60 140 1.00000, 0.00000
0 90 60 150 1.00000, 0.00000
0 100 60 160 1.00000, 0.00000
0 110 60 170 1.00000, 0.00000
0 120 60 180 1.00000, 0.00000
0 130 60 190 1.00000, 0.00000
0 140 60 200 1.00000, 0.00000
0 150 60 210 1.00000, 0.00000
0 160 60 220 1.00000, 0.00000
0 170 60 230 1.00000, 0.00000
10 0 70 60 1.00000, 0.00000
10 10 70 70 1.00000, 0.00000
10 20 70 80 1.00000, 0.00000
10 30 70 90 1.00000, 0.00000
10 40 70 100 1.00000, 0.00000
10 50 70 110 1.00000, 0.00000
10 60 70 120 1.00000, 0.00000
10 70 70 130 1.00000, 0.00000
10 80 70 140 1.00000, 0.00000
10 90 70 150 1.00000, 0.00000
10 100 70 160 1.00000, 0.00000
10 110 70 170 1.00000, 0.00000
10 120 70 180 1.00000, 0.00000
10 130 70 190 1.00000, 0.00000
10 140 70 200 1.00000, 0.00000
10 150 70 210 1.00000, 0.00000
10 160 70 220 1.00000, 0.00000
10 170 70 230 1.00000, 0.00000
20 0 80 60 1.00000, 0.00000
20 10 80 70 1.00000, 0.00000
20 20 80 80 1.00000, 0.00000
20 30 80 90 1.00000, 0.00000
20 40 80 100 1.00000, 0.00000
20 50 80 110 1.00000, 0.00000
20 60 80 120 1.00000, 0.00000
20 70 80 130 1.00000, 0.00000
20 80 80 140 1.00000, 0.00000
20 90 80 150 1.00000, 0.00000
20 100 80 160 1.00000, 0.00000
20 110 80 170 1.00000, 0.00000
20 120 80 180 1.00000, 0.00000
20 130 80 190 1.00000, 0.00000
20 140 80 200 1.00000, 0.00000
20 150 80 210 1.00000, 0.00000
20 160 80 220 1.00000, 0.00000
20 170 80 230 1.00000, 0.00000
30 0 90 60 1.00000, 0.00000
30 10 90 70 1.00000, 0.00000
30 20 90 80 1.00000, 0.00000
30 30 90 90 1.00000, 0.00000
30 40 90 100 1.00000, 0.00000
30 50 90 110 1.00000, 0.00000
30 60 90 120 1.00000, 0.00000
30 70 90 130 1.00000, 0.00000
30 80 90 140 1.00000, 0.00000
30 90 90 150 1.00000, 0.00000
30 100 90 160 1.00000, 0.00000
30 110 90 170 1.00000, 0.00000
